2012-07-07 07:38:18 remove libconsole:powerpc 1:0.2.3dbs-69.1 <none>
2012-07-07 07:38:18 purge libconsole:powerpc 1:0.2.3dbs-69.1 <none>
2012-07-07 07:38:18 status config-files libconsole:powerpc 1:0.2.3dbs-69.1
2012-07-07 07:38:18 status config-files libconsole:powerpc 1:0.2.3dbs-69.1
2012-07-07 07:38:18 status config-files libconsole:powerpc 1:0.2.3dbs-69.1
2012-07-07 07:38:18 status config-files libconsole:powerpc 1:0.2.3dbs-69.1
2012-07-07 07:38:18 status config-files libconsole:powerpc 1:0.2.3dbs-69.1
2012-07-07 07:38:18 status not-installed libconsole:powerpc <none>
2012-07-07 07:38:18 status config-files libdevmapper1.02:powerpc 2:1.02.08-1
2012-07-07 07:38:18 remove libdevmapper1.02:powerpc 2:1.02.08-1 <none>
2012-07-07 07:38:18 purge libdevmapper1.02:powerpc 2:1.02.08-1 <none>
2012-07-07 07:38:18 status config-files libdevmapper1.02:powerpc 2:1.02.08-1
2012-07-07 07:38:18 status config-files libdevmapper1.02:powerpc 2:1.02.08-1
2012-07-07 07:38:18 status config-files libdevmapper1.02:powerpc 2:1.02.08-1
2012-07-07 07:38:20 status config-files libdevmapper1.02:powerpc 2:1.02.08-1
2012-07-07 07:38:20 status config-files libdevmapper1.02:powerpc 2:1.02.08-1
2012-07-07 07:38:20 status not-installed libdevmapper1.02:powerpc <none>
2012-07-07 07:38:20 status config-files libept0:powerpc 0.5.22
2012-07-07 07:38:20 remove libept0:powerpc 0.5.22 <none>
2012-07-07 07:38:20 purge libept0:powerpc 0.5.22 <none>
2012-07-07 07:38:20 status config-files libept0:powerpc 0.5.22
2012-07-07 07:38:20 status config-files libept0:powerpc 0.5.22
2012-07-07 07:38:20 status config-files libept0:powerpc 0.5.22
2012-07-07 07:38:20 status config-files libept0:powerpc 0.5.22
2012-07-07 07:38:20 status config-files libept0:powerpc 0.5.22
2012-07-07 07:38:21 status not-installed libept0:powerpc <none>
2012-07-07 07:38:21 status config-files libept1:powerpc 1.0.5
2012-07-07 07:38:21 remove libept1:powerpc 1.0.5 <none>
2012-07-07 07:38:21 purge libept1:powerpc 1.0.5 <none>
2012-07-07 07:38:21 status config-files libept1:powerpc 1.0.5
2012-07-07 07:38:21 status config-files libept1:powerpc 1.0.5
2012-07-07 07:38:21 status config-files libept1:powerpc 1.0.5
2012-07-07 07:38:21 status config-files libept1:powerpc 1.0.5
2012-07-07 07:38:21 status config-files libept1:powerpc 1.0.5
2012-07-07 07:38:21 status not-installed libept1:powerpc <none>
2012-07-07 07:38:21 status config-files libevent-1.4-2:powerpc 1.4.14b-stable-1
2012-07-07 07:38:21 remove libevent-1.4-2:powerpc 1.4.14b-stable-1 <none>
2012-07-07 07:38:21 purge libevent-1.4-2:powerpc 1.4.14b-stable-1 <none>
2012-07-07 07:38:21 status config-files libevent-1.4-2:powerpc 1.4.14b-stable-1
2012-07-07 07:38:21 status config-files libevent-1.4-2:powerpc 1.4.14b-stable-1
2012-07-07 07:38:21 status config-files libevent-1.4-2:powerpc 1.4.14b-stable-1
2012-07-07 07:38:21 status config-files libevent-1.4-2:powerpc 1.4.14b-stable-1
2012-07-07 07:38:21 status config-files libevent-1.4-2:powerpc 1.4.14b-stable-1
2012-07-07 07:38:22 status not-installed libevent-1.4-2:powerpc <none>
2012-07-07 07:38:22 status config-files libgmp3c2:powerpc 2:4.3.2+dfsg-2
2012-07-07 07:38:22 remove libgmp3c2:powerpc 2:4.3.2+dfsg-2 <none>
2012-07-07 07:38:22 purge libgmp3c2:powerpc 2:4.3.2+dfsg-2 <none>
2012-07-07 07:38:22 status config-files libgmp3c2:powerpc 2:4.3.2+dfsg-2
2012-07-07 07:38:22 status config-files libgmp3c2:powerpc 2:4.3.2+dfsg-2
2012-07-07 07:38:22 status config-files libgmp3c2:powerpc 2:4.3.2+dfsg-2
2012-07-07 07:38:22 status config-files libgmp3c2:powerpc 2:4.3.2+dfsg-2
2012-07-07 07:38:22 status config-files libgmp3c2:powerpc 2:4.3.2+dfsg-2
2012-07-07 07:38:22 status not-installed libgmp3c2:powerpc <none>
2012-07-07 07:38:22 status config-files libldap2:powerpc 2.1.30-13.3
2012-07-07 07:38:22 remove libldap2:powerpc 2.1.30-13.3 <none>
2012-07-07 07:38:22 purge libldap2:powerpc 2.1.30-13.3 <none>
2012-07-07 07:38:22 status config-files libldap2:powerpc 2.1.30-13.3
2012-07-07 07:38:22 status config-files libldap2:powerpc 2.1.30-13.3
2012-07-07 07:38:22 status config-files libldap2:powerpc 2.1.30-13.3
2012-07-07 07:38:22 status config-files libldap2:powerpc 2.1.30-13.3
2012-07-07 07:38:22 status config-files libldap2:powerpc 2.1.30-13.3
2012-07-07 07:38:23 status not-installed libldap2:powerpc <none>
2012-07-07 07:38:23 status config-files libmpfr1ldbl:powerpc 2.3.1.dfsg.1-2
2012-07-07 07:38:23 remove libmpfr1ldbl:powerpc 2.3.1.dfsg.1-2 <none>
2012-07-07 07:38:23 purge libmpfr1ldbl:powerpc 2.3.1.dfsg.1-2 <none>
2012-07-07 07:38:23 status config-files libmpfr1ldbl:powerpc 2.3.1.dfsg.1-2
2012-07-07 07:38:23 status config-files libmpfr1ldbl:powerpc 2.3.1.dfsg.1-2
2012-07-07 07:38:23 status config-files libmpfr1ldbl:powerpc 2.3.1.dfsg.1-2
2012-07-07 07:38:23 status config-files libmpfr1ldbl:powerpc 2.3.1.dfsg.1-2
2012-07-07 07:38:23 status config-files libmpfr1ldbl:powerpc 2.3.1.dfsg.1-2
2012-07-07 07:38:23 status not-installed libmpfr1ldbl:powerpc <none>
2012-07-07 07:38:23 status config-files libntfs-3g75:powerpc 1:2010.3.6-1
2012-07-07 07:38:23 remove libntfs-3g75:powerpc 1:2010.3.6-1 <none>
2012-07-07 07:38:23 purge libntfs-3g75:powerpc 1:2010.3.6-1 <none>
2012-07-07 07:38:23 status config-files libntfs-3g75:powerpc 1:2010.3.6-1
2012-07-07 07:38:23 status config-files libntfs-3g75:powerpc 1:2010.3.6-1
2012-07-07 07:38:23 status config-files libntfs-3g75:powerpc 1:2010.3.6-1
2012-07-07 07:38:23 status config-files libntfs-3g75:powerpc 1:2010.3.6-1
2012-07-07 07:38:24 status config-files libntfs-3g75:powerpc 1:2010.3.6-1
2012-07-07 07:38:24 status not-installed libntfs-3g75:powerpc <none>
2012-07-07 07:38:24 status config-files libparted1.8-10:powerpc 1.8.8.git.2008.03.24-11.1
2012-07-07 07:38:24 remove libparted1.8-10:powerpc 1.8.8.git.2008.03.24-11.1 <none>
2012-07-07 07:38:24 purge libparted1.8-10:powerpc 1.8.8.git.2008.03.24-11.1 <none>
2012-07-07 07:38:24 status config-files libparted1.8-10:powerpc 1.8.8.git.2008.03.24-11.1
2012-07-07 07:38:24 status config-files libparted1.8-10:powerpc 1.8.8.git.2008.03.24-11.1
2012-07-07 07:38:24 status config-files libparted1.8-10:powerpc 1.8.8.git.2008.03.24-11.1
2012-07-07 07:38:24 status config-files libparted1.8-10:powerpc 1.8.8.git.2008.03.24-11.1
2012-07-07 07:38:24 status config-files libparted1.8-10:powerpc 1.8.8.git.2008.03.24-11.1
2012-07-07 07:38:24 status not-installed libparted1.8-10:powerpc <none>
2012-07-07 07:38:24 status config-files libreadline5:powerpc 5.2-7
2012-07-07 07:38:24 remove libreadline5:powerpc 5.2-7 <none>
2012-07-07 07:38:24 purge libreadline5:powerpc 5.2-7 <none>
2012-07-07 07:38:24 status config-files libreadline5:powerpc 5.2-7
2012-07-07 07:38:24 status config-files libreadline5:powerpc 5.2-7
2012-07-07 07:38:24 status config-files libreadline5:powerpc 5.2-7
2012-07-07 07:38:24 status config-files libreadline5:powerpc 5.2-7
2012-07-07 07:38:25 status config-files libreadline5:powerpc 5.2-7
2012-07-07 07:38:25 status not-installed libreadline5:powerpc <none>
2012-07-07 07:38:25 status config-files librpcsecgss3:powerpc 0.19-4
2012-07-07 07:38:25 remove librpcsecgss3:powerpc 0.19-4 <none>
2012-07-07 07:38:25 purge librpcsecgss3:powerpc 0.19-4 <none>
2012-07-07 07:38:25 status config-files librpcsecgss3:powerpc 0.19-4
2012-07-07 07:38:25 status config-files librpcsecgss3:powerpc 0.19-4
2012-07-07 07:38:25 status config-files librpcsecgss3:powerpc 0.19-4
2012-07-07 07:38:25 status config-files librpcsecgss3:powerpc 0.19-4
2012-07-07 07:38:25 status config-files librpcsecgss3:powerpc 0.19-4
2012-07-07 07:38:25 status not-installed librpcsecgss3:powerpc <none>
